,title,author,rating,num_rating,num_review,page,year_published,publisher,summary,topic
1205,sorcerer's apprentice: my life with carlos castaneda,Amy Wallace,3.93,491,36,448.0,December 18th 2007,by Frog Books,"Sorcerer’s Apprentice opens with Amy Wallace’s first meeting with Carlos Castaneda, the infamous anthropologist-turned-shaman, whose books described meetings with Yaqui Indian spiritual teacher don Juan. Castaneda’s rise was meteoric in the late 1960s as he wrote massive bestsellers, inspired many to experiment with psychedelics, and was dubbed “the Godfather of the New Age.” The possibility that Castaneda’s experiences may have been fabricated did little to compromise his legend.As the daughter of best-selling novelist Irving Wallace, Amy was rarely shy around famous people. When her father insisted she meet Castaneda, she at first demurred. Little did she know that a delightful first meeting would begin a 20-year friendship, followed by her descent into the dramatic and deeply troubled affair chronicled in this book. Sorcerer’s Apprentice unblinkingly reveals the inner workings of the “Cult of Carlos,” run by a charismatic authoritarian in his sixties who controlled his young female followers through emotional abuse, mind games, bizarre rituals, dubious teachings, and sexual excess. Wallace’s story is both specific and universal, a captivating cautionary tale about the dangers of giving up one’s power to a tyrant–and about surviving assaults on body and spirit.",biography
1206,van gogh struggle & success,Fred Leeman,4.09,11,2,180.0,November 29th 2013,by Tribute,"Developed in close collaboration with the Van Gogh Museum, written by the museum's former chief curator dr. Fred Leeman, and narrated by Academy Award©-winner Dame Helen Mirren, this audio-biography provides you with a highly accessible and lively expert account of Van Gogh's life in just under two hours. The accompanying art booklets trace the development of his revolutionary work and its increasingly successful reception up to this day.   Helen Mirren narrates the story of Vincent's struggle for recognition, and his existential doubts about the value of success. Vincent's quest to live an authentic, artistic, life is an endeavor that speaks to our shared human uncertainties and strengths. Here, for the first time, the artist's marketing acumen, his protracted struggle for recognition, and his ultimate refusal of that same recognition are put center-stage. The booklets allow you to reflect on Van Gogh's work while listening, and illustrate in lavish detail how his oeuvre was catapulted to ever greater fame after his tragically early death. Taken together, the audio-biography & art book lets you follow Van Gogh's challenging ascent from a late and unpromising start to the heights of his current reputation.",art
1207,meetings with remarkable trees,Thomas Pakenham,4.4,371,41,192.0,November 10th 1998,by Random House,"Thomas Pakenham's bestselling book of tree portraits. With this astonishing collection of tree portraits, Thomas Pakenham produced a new kind of tree book. The arrangement owed little to conventional botany. The sixty trees were grouped according to their own strong personalities: Natives, Travellers, Shrines, Fantasies and Survivors. From the ancient native trees, many of which are huge and immeasurably old, to the exotic newcomers from Europe, the East and North America, MEETINGS WITH REMARKABLE TREES captures the history and beauty of these entrancing living structures. Common to all these trees is their power to inspire awe and wonder. This is a lovingly researched book, beautifully illustrated with colour photographs, engravings and maps - a moving testimonial to the Earth's largest and oldest living structures.",science
1208,the happiness animal,Will Jelbert,3.27,689,49,314.0,December 12th 2014,by Createspace Independent Publishing Platform,"Five stories of happiness...Five exercises...Five ways to find the elusive 'happy'... Will Jelbert had what many people would consider the ideal life: a well paying job, a beautiful wife and a great apartment, but he still wasn't happy. One day the life he knew came to an abrupt end when he was thrown from his bike, face first into the sidewalk of a Sydney street. After a year in recovery and a divorce, Jelbert decided to dedicate the next three years to a happiness psychology research. The result: The Happiness Animal. The world's first dedicated exercise guide to happiness condenses the latest applied positive psychology research into a guide to five muscles. For each muscle, Jelbert first narrates his own personal struggle, and then provides five simple exercises that he uses to find the elusive 'happy' in his everyday life.* * * * * ""Jelbert has an incredible ability to say things that are logical and obvious, although without somebody pointing them out in the clear way he has done, most of us don't ever think them. He identifies the power of awareness, but before I read his book I was not even aware of many of my own thoughts''  - Danny Lawrence, BBC * * * * * ""Jelbert has captured an immense understanding of the inner workings of society's struggle to find happiness with a whole hearted and honest truth. The exercises explained are an excellent route back to the inner being of happiness. A must read for everyone!"" - Sadie Oliver, LIFE magazine * * * * * ""Jelbert writes with honesty, authenticity and animation that allows the words on each page to come alive and live within the reader"" - Lucy Proud, The Art of Being",business
1209,get a ring on it: 10 secrets to becoming wife material,Lasana Smith,3.37,19,4,118.0,June 25th 2013,by GAROI Media LLC,"Would you like to experience more love in your life?Are you tired of seeing friends Facebook status change to ""Engaged"" and ""Married"" while yours remains ""It's Complicated,"" ""In A Relationship,"" or ""Single""?Would you like to stop hearing your mom ask about your love life and marriage?Are you struggling to understand why you are not married?Then you reading this, wondering about the future of your love life and why you are not married is a good thing. Because it means you are ready for ""Get A Ring On It: 10 Secrets To Becoming Wife Material.""For years, women like you have been hearing you should think like a man to get the guy of your dreams. Now, dating and relationship expert and media personality, Lasana Smith, has finally cracked the guy code. Based on her Master's thesis, Smith spent more than a year researching, observing, interviewing and conducting focus groups with men nationwide to gain a better understanding of the question “Is The Single, Modern Woman Having A Difficult Time Finding A Husband?” The results of her findings serve as the foundation of Get A Ring On It. Where most books merely explain why you aren't married, this concise relationship guide reveals concrete steps for how to become marriage material. It's brimming with juicy insights, entertaining real-life scenarios as well as relationship advice. As an added bonus, Wife Material lessons and introspective Reflections questions conclude each chapter.",relationship
1210,i must say: my life as a humble comedy legend,Martin  Short,4.07,10822,1633,336.0,November 4th 2014,by Harper,"In this engaging memoir, written with heart, wisdom, and a huge helping of hilarity, Martin Short shares stories of his life, revealing how a Canadian kid obsessed with American show business became the comedian s comedian (""Vanity Fair"").Martin Short is one of few celebrities in show business who has continually worked hard, found success, and maintained a normal, happy family life. His memoir is a reflection on his diverse collection of experiences, both hilarious and heartbreaking.Short takes us through his career, from his early years with Second City Toronto and ""Saturday Night Live"" to his movie, stage, and television stardom. He recalls how he developed some of his enduring characters manic man-child Ed Grimley, elderly Tin Pan Alley songmith Irving Cohen, slimy lawyer Nathan Thurm, and the blubbery and bizarrely insensitive Jiminy Glick. Here, too, are his movie and television appearances, from the classic "" Three Amigos!"" to his Emmy-nominated role in ""Damages,"" as well as his stage productions, including his Tony Award winning performance in ""Little Me."" Throughout, such friends and luminaries as Steve Martin, Tom Hanks, John Candy, Gilda Radner, Lorne Michaels, Nora Ephron, Frank Sinatra, and others share the spotlight.This deeply private man brings us into the circle of his family life, from raising his children to the legendary parties he and his wife hosted in their Los Angeles home. He recounts the pain of losing a brother and both parents by the time he was twenty and of the devastating death of Nancy, his wife of thirty years, in 2010. Despite the hardships, Short s life has been full of laughter, and he remains perennially upbeat. In this wise and entertaining memoir, he shares his irrepressible joy.""",family
1211,unveiled threat,Janet M. Tavakoli,3.9,49,10,144.0,December 15th 2014,by Lyons McNamara LLC,"The Clash of CivilizationsIn her part heart-rending memoir, part expose of fundamentalist Islamic terrorism, finance expert Janet Tavakoli bears witness to the incompatibility of Western values and fundamentalist Islam. In 1978, Janet Tavakoli moved to Tehran with her Iranian husband and witnessed the overthrow of the progressive Shan and the birth of the fundamentalist Islamic Republic of Iran. After fleeing Iran, she followed the expansion of fundamentalist Islam and the spread of terrorism promoted by religious leaders at the highest echelons in the Middle East. In 1993, she worked in the World Trade Center complex when terrorists detonated a bomb in the parking garage of the North Tower. On 9/11, she watched the news from London as terrorist plane hijackers destroyed the World Trade Center's Twin Towers in New York on 9/11. She has followed multiple acts of terrorism by multiple fundamentalist Muslim terrorist organizations.Sharia law, embraced by fundamentalists, allows forced ""marriages"" of female children, oppresses women, suppresses dissent, destroys freedom of speech, and promotes intolerance of other religions. Tavakoli explains why the insistence of fundamentalist Muslims that sharia law is supreme over Western laws, including the United States Constitution, requires a response from those who believe in, and are willing to defend, the values of Western civilization.Print edition: 144 pages including front and back matter, references, and 120 pages of text.",race
1212,social work for fun and profit: social work satire 1982 - 1992,Richard   Schwindt,4.63,8,5,,November 25th 2014,by Richard Schwindt,"From the writer who brought you a social worker who solves murders (Death in Sioux Lookout) and a psychiatrist who turns into a gorilla to solve a case (The Love Duology) comes another completely original work. In the early eighties a young social worker named Richard Schwindt decided to do something never done before (or since) and satirize his profession. For ten years, writing in OAPSW Newsmagazine Schwindt regaled and horrified colleagues with classics like, ""Veterinary Social Work"", ""Social Work in Hell"" and ""Dr. Jekyll and Mr. Hyde, MSW"". These articles remain as edgy and funny now as when they were first published. Some pieces are fun; some are dark but all are unique and the output of an innovative mind.",art
1213,"perfect madness: escaping the confines of conformity, making the impossible possible and redefining the road to success in your life!",Alastair Macartney,4.15,26,2,82.0,November 24th 2014,by Perfect Madness Publishing," Escaping the Confines of Conformity  The days of conforming to perceived societal norms are no more. You are no longer confined but have the gift of freedom to do with as you will.  As you escape the confines of conformity, many things that were seemingly impossible become possible.   Making the Impossible Possible  Possible and impossible aren’t always the strict definition of what you can and can’t do. They are also what your mind will or won’t permit. Opening the door to your mind is a harder job than many might actually realize. Learn to open your mind and unlock a new world of incredible possibilities.   Redefining the Road to Success in Your Life  Working hard, getting promotions and earning more money is no longer the key to success. Success is created through happiness. The convention of holding down that 9-5 job is not the vital ingredient we once believed.  You can live your dreams, create new possibilities and still be successful.  Learn about all this and more in this book: “Perfect Madness: Escaping The Confines Of Conformity, Making The Impossible Possible And Redefining The Road To Success In Your Life!”   DOWNLOAD: Perfect Madness: Escaping The Confines Of Conformity, Making The Impossible Possible And Redefining The Road To Success In Your Life!  In Perfect Madness you will learn about:   Redefining Possible. From Normal Is For Freaks to Listen To Your Gut this chapter guides you to open your eyes and ears to what you’re really seeing and hearing as you unlock a new world of incredible possibilities.   Developing Your Future. Your future isn’t confined by conformity, limited by possibility or restricted by a false definition of success. It’s a future defined by you. Learn how to develop it fully.   Belief. You need to indulge in your passions and believe in the journey that you choose to create. If you want to reach for the stars, you can. Learn how.    Fear. It can consume you. Equally, you can dominate it. You can take back that control and manage your fear. It’s not an easy path but if you follow these lessons and learn to harness your fear and work with it, rather than against it, the possibilities you can achieve are endless.   Gratitude. Life continually throws challenges at all of us. How you deal with them is what defines you. Learn the gratitude lessons and techniques that will help you create more positive opportunities as you continue your journey.   Mindful. The pace of life is fast. It can be easy to miss the present as you dwell on the past and the future. Learn techniques to ground yourself, remember why you do what you do and truly live in the present.   Stamina. Whether you like it or not, your journey in life will continue at speed. Holding on during the roller coast ride can be tough at times. Learn how to ride the highs and use the good times to build your stamina, providing strength to battle through the lows.    Want To Know More?  Start today. Scroll back up to the top of the page and click on the buy now button.",business
1214,easy guide to baby sign language,J.R. Cagle,3.5,12,1,133.0,January 18th 2014,by J.R. Cagle,"This easy-to-use guide helps parents communicate with their baby before they can speak, forge stronger bonds and reduce frustrations. It comes with clear and engaging illustrations, activity ideas, and quick reference look-ups to make it easy to find what is needed. It has been specifically designed for busy parents wanting their baby to benefit from using sign language.",business
1215,the rainbow bridge: bridge to inner peace and to world peace,Brent N. Hunter,4.23,64,23,286.0,February 28th 2014,by Spirit Rising Productions,"Alternate cover edition for ISBN 9780991206445The Rainbow Bridge: Bridge to Inner Peace and to World Peace, recipient of 12 awards/recognitions (see below), has been endorsed by H.H. the Dalai Lama, New York Times bestselling authors and a growing chorus of prestigious global luminaries. The book illuminates the common ground in the world's major wisdom traditions, also known as universal principles. The sixty easy-to-use universal principles can be used to help guide us to experiencing deep inner peace. They can also be used in concrete ways to help create a bridge to a peaceful harmonious world that works for all via a comprehensive Road Map to World Peace. This book also reveals how the mainstream Rainbow Bridge is spontaneously appearing around the world in the form of physical bridges, stores, hotels, music festivals, Hollywood films and more. The Rainbow Bridge is a vision of peace and unity that comes from deep inside the heart of humanity. Learn how it can be a positive contribution to your life and to the lives of billions of people worldwide.WINNER: 2013 Bronze Medal for World PeaceWINNER: 2014 National Indie Excellence Award (Body/Mind/Spirit)WINNER: 2014 Los Angeles Book Festival (Spirituality)GOLD MEDAL WINNER: 2014 Global Ebook Awards (Gift/Specialty)SILVER MEDAL WINNER: 2014 Global Ebook Awards (Current Events/Politics/Foreign Affairs)BRONZE MEDAL WINNER: 2014 Global Ebook Awards (Inspirational/Visionary)RUNNER-UP: 2014 San Francisco Book Festival (Spirituality)HONORABLE MENTION: 2014 New York Book Festival (Spirituality)FINALIST: 2014 International Book Award (Spirituality: Inspirational)FINALIST: 2014 Next Generation Indie Book Award (Spirituality)FINALIST: 2014 Next Generation Indie Book Award (Social Change)FINALIST: 2014 Next Generation Indie Book Award (New Age)",art
1216,"the oyster war: the true story of a small farm, big politics, and the future of wilderness in america",Summer Brennan,4.02,264,46,256.0,August 11th 2015,by Counterpoint,"It all began simply enough. In 1976 the Point Reyes Wilderness Act granted the highest protection in America to more than 33,000 acres of California forest, grassland and shoreline - including Drakes Estero, an estuary of stunning beauty. Inside was a small, family-run oyster farm first established in the 1930s. A local rancher bought the business in 2005, renaming it The Drakes Bay Oyster Company. When the National Park Service informed him that the 40-year lease would not be renewed past 2012, he vowed to keep the farm in business even if it meant taking his fight all the way to the Supreme Court.Environmentalists, national politicians, scientists, and the Department of the Interior all joined a protracted battle for the estuary that had the power to influence the future of wilderness for decades to come. Were the oyster farmers environmental criminals, or victims of government fraud? Fought against a backdrop of fear of government corruption and the looming specter of climate change, the battle struck a national nerve, pitting nature against agriculture and science against politics, as it sought to determine who belonged and who didn’t belong, and what it means to be wild.",race
1217,the blood red sea,Ron Faust,3.58,12,4,352.0,December 18th 2007,by Bantam,"Dan Shaw has been practicing law only four months and he’s already burned-out. Add the fact that he’s just lost his girlfriend and the cops are scouring his dubious past, and it’s no wonder Shaw decides to set sail for the summer. But even alone in the middle of the sea, trouble finds him. She’s naked, nearly drowned, and has little memory as to how she got that way. But the real story is even more twisted. Cesar Cardinal is a diplomat who takes diplomatic immunity literally. A playboy and high-stakes gambler, he’s feigned his wife’s suicide at sea and taken their young son to a heavily armed compound in the Dominican Republic, where U.S. law can’t touch him. But that’s not going to stop Shaw. From Bell Harbor to Monte Carlo, he’s baiting a trap with his own life…and there’s no telling what he’ll catch.From the Paperback edition.",biography
1218,"mistaken identity: two families, one survivor, unwavering hope",Don Van Ryn,4.06,8449,1004,275.0,March 25th 2008,by Simon and Schuster,"Meet Laura Van Ryn and Whitney Cerak: one buried under the wrong name, one in a coma and being cared for by the wrong family. This shocking case of mistaken identity stunned the country and made national news. Would it destroy a family? Shatter their faith? Push two families into bitterness, resentment, and guilt? Read this unprecedented story of two traumatized families who describe their ordeal and explore the bond sustaining and uniting them as they deal with their bizarre reversal of life lost and life found. And join Whitney Cerak, the sole surviving student, as she comes to terms with her new identity, forever altered, yet on the brink of new beginnings. Mistaken Identity weaves a complex tale of honesty, vulnerability, loss, hope, faith, and love in the face of one of the strangest twists of circumstance imaginable.",family
1219,humans 3.0: the upgrading of the species,Peter  Nowak,3.58,90,12,250.0,January 6th 2015,by Lyons Press,"Our species is entering a new era. Millions of years ago, we created tools to change our environment. Caves became huts, fires became ovens, and clubs became swords. Collectively these tools became technology, and the pace of innovation accelerated. Now we’re applying the latest advancements to our own biology, and technology is becoming part of the process. But is that a good thing? Not if media scare pieces about government spying, limitless automation, and electronic addictions are to be believed. But veteran journalist and best-selling author Peter Nowak looks at what it means to be human – from the relationships we form and the beliefs we hold to the jobs we do and the objects we create – and measures the impact that those innovations have had and will have in the future. He shows not only how advancements in robotics, nanotechnology, neurology, and genetics are propelling us into a new epoch, but how they’re improving us as a species. Nowak has compiled the data and travelled the world to speak to experts. Focusing on the effects of technology rather than just its comparatively minor side effects, he finds a world that is rapidly equalizing, globalizing, and co-operating.",science
1220,jeegareh ma,Rahela Nayebzadah,4.28,36,18,159.0,October 4th 2012,by Key Publishing House Inc,"Based on a true story, Jeegareh Ma is a testament to the power of love in the face of struggle and hardship. Ghulam and Firishta, a wealthy couple, move to Kabul, Afghanistan, to begin a new chapter in their lives. Firishta is diagnosed with meningitis and passes away, leaving their six young children motherless. Moving back to Herat, Ghulam and his family discover that their motherland is no longer the same: the Soviet Union has invaded, causing them to seek refuge in Iran. In Iran, Ali, an impoverished, dark-skinned, and plumpish man asks for Maryam's hand in marriage. As Afghans living in Iran, Ali and his family are denied identity, worth, and value. Ali's prayers are answered when he and his family are accepted by Canada as refugees. Jeegareh Ma is a story of courage where love, family, and God are put to the test.",family
1221,the ultimate beginners guide to outsourcing: learn how to outsource any job online on fiverr and elance or hire a virtual assistant to save time and money.: ... includes list of 75 freelancers you can use,George Ilian,4.08,12,0,58.0,November 10th 2014,by GeorgeIlian.com,"  Are you you looking for a way to have more free time, while making even more money? If so you are at the right place!  I have been working online for the past 5 years and  not only I have hired freelancers, but I have also been working as a freelancer . Having Experience being on both sides of the fence, you can see a lot of insider information, how to get any job done on  Fiverr  and  Elance. Also in this book I will be sharing with you a list of contractors from these two websites that I (or friends of mine) have worked with and we know that they provide great service. The list includes over 75 contractors, so it is a great place to start when searching to outsource a task.   In This Book You Will also Learn:  * What is Outsourcing and how it works* What you can and should outsource* Where to find excellent freelancers * How to deal with freelancers* How to get the best out of Fiverr* How to successfully use Elance to achieve your goals* How to Hire a virtual assistant* How to avoid outsourcing nightmares* How to make sure you always win from your outsourcing projects by keeping an eye on your ROI* 2 BONUS Ebooks - 69 Ways to Make Money from Home + Bitcoins Beginner's Guide  Why This Book?  This is book is not a promise for a 4 hour work week. It is an opportunity to build a network of freelancers and grow your business and free up more time for yourself and your family, while making even more money, if this is your goal, then  this book is for you .",business
1222,dating death match,Mike Bernsten,4.75,4,2,57.0,February 2nd 2015,by Mike Bernsten,"Dating Death MatchRealistic men's dating advice will help you to face the inner worries that hold you back from talking with women.Instead of blowing your chance when meeting new girls, you will easily start a conversation and lead her the whole way through. The ending is a date or your place.You will discover that women want to talk with you but you stopped all chances of conversations before because of your fear.Now, your inner masculinity is allowed to surface and women will respond favorable to you.I use these methods myself ad they work. Nothing stupid or foolish, just easy to follow dating advice, some of it is from women themselves.Some key points to Dating Death Match1. The information given works and is realistic and easy to use if you let yourself do it.2. The methods are socially acceptable and don't require insults or odd public behavior.3. Free yourself from the fear of meeting hot women, instead you will look forward to it.4. The information works in real life and is effective.5. Stay out of the friend-zone.6. Boosts your self-confidence.7. Women appreciate and love a man that acts like this.8. You can only benefit. Meet single women today and become the man you always knew you were on the inside.Your life will change for the better as your self-confidence soars and women notice you before you notice them.Buy now while it is hot on the market and take all the fun!",gender
1223,from ouch to oops,RamG Vallath,4.08,119,16,160.0,November 10th 2015,by HarperCollins,"RamG Vallath has everything going for him. He has studied at IIT, seen 200 per cent jumps in his salary and become one of the youngest chief operating officers of a telecom company in India. When he steps into the role of a director at a major international computer hardware firm, he thinks life is set. But life is soon about to come crashing down on him. He is diagnosed with a rare autoimmune disorder that weakens his muscles. Mundane tasks like buttoning up his shirt, climbing down steps and typing on a keyboard become excruciatingly difficult. To make things worse, he loses his job at a time when his annual hospitalization bill has steadily climbed to Rs 20 lakh. But even as the chips are down and hope starts to fade, RamG decides not to give up. He becomes the cheerleader at home and outside, spreading positivity wherever he goes and choosing to meet his fate with a brave face. From Ouch to Oops is the inspirational true story of RamG's life and holds lessons not just for people with disabilities but anyone with a mental demon. It will teach you grit and courage, make you laugh, and show how when the going gets tough, the tough get humorous. You will put it down knowing that RamG is the most positive person you have ever met.",business
1224,hello american lady creature: what i learned as a woman in qatar,Lisa L. Kirchner,3.79,63,12,370.0,May 31st 2014,by Greenpoint Press,"Lisa Kirchner was 35 when she married the man of her dreams. They moved to Qatar for one last adventure before starting a family, but things quickly derailed. As the marketing director for Carnegie Mellon University's branch campus in Doha, she ran into challenges supervising Muslim men. Like when she learned it's haram, or forbidden by the Quran, for a man to look at a woman who is not his wife. As a self-described ""friend-dependent,"" she often felt a crushing loneliness. Then she learned she'd never have children. At least they had each other. 'He pulled me close and said, ""Baby, I didn't marry you for your ability to reproduce."" I never wanted anything more than to be loved like that.' If only the story ended there. At the heart of this narrative is a magical place and time in history - Qatar at the turn of the 21st century - that shaped her own radical transformation. Told with powerful insight and dark humor. It's the author's first book. LISA KIRCHNER was once simultaneously the dating columnist for an alternative newsweekly, bridal editor for a society rag and the religion reporter for a gay and lesbian newspaper. She lives in New York City.",gender
1225,glenn hates books vol. 1: brutally honest book reviews,Glenn Conley,3.89,65,59,229.0,March 2nd 2015,,"WARNING: There's a lot of unnecessary profanity in this book. Why? Because... Because REASONS!  This book contains over 100 brutally honest book reviews. These laugh-out-loud reviews are offensive in every way possible. There's so much unnecessary profanity, it's crazy. But it's not the profanity or offensiveness that makes this book worth reading. It's the honesty.  You will find 1 star reviews in this book, that absolutely tear the book to shreds, because the book was really that bad. But you will also find 5 star reviews in this book, because the book was actually that good.  It contains reviews of popular books such as Gone Girl, The Giver, The Maze Runner, and many other popular books. Of course, it also includes plenty of books you've probably never heard of.  There's reviews that urge you to read a book, because it's so good. And also, reviews that warn you to stay the hell away from certain books, because they're bad. So bad.  In the end, you'll laugh while reading this book. And cry. And possibly vomit. You've been warned.",business
1226,"get the guy: how to find, attract, and keep your ideal mate",Matthew Hussey,4.01,3549,300,250.0,March 5th 2013,by HarperAudio,"Most dating books tell you what not to do. Here's a book dedicated to telling you what you can do. In his book, Get the Guy, Matthew Hussey - relationship expert, matchmaker, and star of the reality show Ready for Love - reveals the secrets of the male mind and the fundamentals of dating and mating for a proven, revolutionary approach to help women to find lasting love. Matthew Hussey has coached thousands of high-powered CEOs, showing them how to develop confidence and build relationships that translate into professional success. Many of Matthew's male clients pressed him for advice on how to apply his winning strategies not to just get the job, but how to get the girl. As his reputation grew, Hussey was approached by more and more women, eager to hear what he had learned about the male perspective on love and romance. From landing a first date to establishing emotional intimacy, playful flirtation to red-hot bedroom tips, Matthew's insightfulness, irreverence, and warmth makes Get the Guy: Learn Secrets of the Male Mind to Find the Man You Want and the Love You Deserve a one-of-a-kind relationship guide and the handbook for every woman who wants to get the guy she's been waiting for.",relationship
1227,an introduction to the presidential trend: a concise narrative of one of the largest political trends,Tony Fairfax,3.25,4,2,65.0,March 16th 2015,by Statistical Press,"Why did the popular vote for the Democratic nominee for president increase in an unusual straight-line for almost 30 years, with the exception of one election? What created this unique voting trend? Did the trend influence the outcome of past presidential elections and could it affect elections yet to come? This new and groundbreaking book provides answers to these questions and includes insight into the probable results of future elections, including the projected winner for president in 2016.  The author, Tony Fairfax, has discovered and written about this unique voting pattern in this concise book titled, An Introduction to the Presidential Trend. The book discusses an intriguing phenomenon whereby the popular vote for the Democratic candidate for president has increased in a linear and predictable manner. The trend, in fact, existed from 1972 to 2000, with the exception of one presidential election. During that same period, the vote for Republican and Independent candidates fluctuated. The linear trend is the basis for a new political theory and is positioned to become a prominent part of US presidential election history.  Amazingly, the straight-line popular vote trend occurred despite the fact that each election contained different opponents, changing issues, fluctuating US and global conditions, and most importantly varying voter turnout percentages. In fact, the trend was so straight that the popular vote for Bill Clinton and Al Gore in 1992, 1996 and 2000 could have been predicted in 1988 with an accuracy of 99% or better.  The book provides a simplified overview of the original publication, The Presidential Trend. Those who wish to delve into exit poll data, voter turnout and demographic data should read the full version. It has been written for the novice as well as experienced analyst. The reader is taken through a literary narrative journey of the development of the author’s original theory. Many will enjoy the condensed explanations and analysis of a theory that some say is destined to alter how presidential elections are viewed and analyzed.",race
1228,the otherness factor: co-creating and sustaining intentional relationships,Kathleen  Hall,4.07,14,6,230.0,November 30th 2014,by Collaborative Options llc,"What if finding love and purpose only requires we become more of who we are — would we know how?  Envision a life where we no longer exhaust ourselves trying to fit in or change one another; where relationships are more about otherness than sameness; where the search for common ground and shared interests doesn't hold us back or limit our potential.  Today's campfire for the long conversation about life, love and purpose is lighting up cyberspace and the global community. No longer can we pretend there is one right way to be in this world. Spiritual, religious and cultural beliefs may influence our choices — yet, each of us has the innate power to shape our life and form relationships through intention and volition.  With life's megapixel array of distractions and diversions, we might question our energetic bandwidth to act with intention. That is, until we assess the cost of inattention — chaos, burnout, loneliness, despair.  In The Otherness Factor we slip out of our contained self to observe the remarkable whole of who we are. Guided by ancient and contemporary philosophers, we discover a new alchemy of science, psychology and spirituality. Beyond theory, our capacity to co-create our life has become scientific fact — revolutionizing and reframing all we thought we knew about freewill.  This book will take you to places far beyond the ordinary and offer you the power, courage and audacity to stand in your own otherness and form meaningful, lasting relationships. Turn the page — invite new energy and insight — as you begin to realize the potency and durability of becoming more of who you are!",relationship
1229,money moves that matter: simple steps to become debt-free,Tagene Brown-McBean,3.82,11,2,72.0,March 28th 2014,by Createspace Independent Publishing Platform,"In Money Moves That Matter, financial expert Tagene Brown-McBean equips you with the information you will need on how to win with money. Have you ever felt like your life and budget were spiraling out of control? Do you sometimes wish you had the knowledge of how to manage your chaotic finances?In a word, yes.Tagene Brown-McBean knows from personal experience how stressful a disorganized budget can be. She shares personal stories, biblical truth, and practical action plans to create real and lasting changes in your finances. With honesty and the wisdom of someone who has been there, Tagene will help you:Transform your relationship with money. Reduce your mental stress and anxiety about money. Reorder material priorities and live well for less. Design a plan for paying off all your debt - mortgages, car loans, etc. Who Needs This Book? Money Moves That Matter was written to bring hope and encouragement to every person who currently feels overwhelmed or stressed with debt. It speaks to the man or woman trying to juggle all the demands of a busy life with the pressure of making ends meet. It is a practical guide for those of us who often pray for a solution for the never ending cycle of debt while faced with the reality that our incomes are no longer increasing as much as it did in the past. Tagene gives real, honest, practical tips, and speaks to the heart of the problem. She shows us how we can live the life we've always wanted.Want to know if this book is for you?Tired of phony promises about getting rich quickly? Do you ever struggle to keep your finances on track? Are you living pay check to pay check, enslaved by mortgage and bills?Do you ever dream of securing a big nest egg for emergencies and retirement?If the answer to any of these questions is YES, this book provides practical solutions for you. Tagene not only offers advice but she shares with brutal honesty her own experience with personal finance and how she became debt free.Money Moves That Matter:  Read it and recommend it to loved ones and get on the road to riches.For free information and resources, please visit Tagene BrownMcBean on Facebook.com",business
1230,naked in the woods: my unexpected years in a hippie commune,Margaret Grundstein,3.93,123,13,224.0,May 1st 2015,by Oregon State University Press,"In 1970, Margaret Grundstein abandoned her graduate degree at Yale and followed her husband, an Indonesian prince and community activist, to a commune in the backwoods of Oregon. Together with ten friends and an ever-changing mix of strangers, they began to build their vision of utopia.Naked in the Woods chronicles Grundstein’s shift from reluctant hippie to committed utopian—sacrificing phones, electricity, and running water to live on 160 acres of remote forest with nothing but a drafty cabin and each other.  Grundstein, (whose husband left, seduced by “freer love”) faced tough choices. Could she make it as a single woman in man’s country? Did she still want to? How committed was she to her new life? Although she reveled in the shared transcendence of communal life deep in the natural world, disillusionment slowly eroded the dream. Brotherhood frayed when food became scarce. Rifts formed over land ownership. Dogma and reality clashed. Many people, baby boomers and millennials alike, have romantic notions about the 1960s and 70s. Grundstein’s vivid account offers an unflinching, authentic portrait of this iconic and often misreported time in American history. Accompanied by a collection of distinctive photographs she took at the time, Naked in the Woods draws readers into a period of convulsive social change and raises timeless questions: how far must we venture to find the meaning we seek, and is it ever far out enough to escape our ingrained human nature?",science
1231,"they're rugby boys, don't you know?",Natalie Vellacott,4.18,114,76,150.0,August 9th 2014,by Lulu.com,"Natalie Vellacott took a two-year break from her job with Sussex Police to join the Logos Hope Christian missionary ship. She was forever changed when, the ship having repeatedly broken down in the Philippines, she unexpectedly encountered and fell in love with a group of street teenage boys addicted to a solvent called ""rugby."" The dirty, wild, miserable, rabble were accustomed to hostility. Their curious approach in order to investigate the foreigners was cautious and sometimes abusive. Local Filipinos watched from a distance, fascinated yet fearful. These were the “rugby boys”--untouchable and invisible, even dangerous and definitely not worthy of time, attention, love and care. But now a small group of highly regarded foreigners seemed intent on drawing attention to them.A true missionary story about Christian hope being brought to the hopeless in the Philippines...",relationship
